STARFIRE_INCIDENT_ID,INCIDENT_DATETIME,INCIDENT_BOROUGH
7,1/10/2020,RICHMOND / STATEN ISLAND
43,1/13/2007,MANHATTAN
23,11/25/2018,BRONX
27,4/27/2019,BROOKLYN
31,6/7/2009,MANHATTAN
51,2/22/2010,BROOKLYN
24,12/31/2012,QUEENS
11,9/3/2008,RICHMOND / STATEN ISLAND
25,8/24/2007,QUEENS
26,7/8/2015,MANHATTAN
24,10/13/2009,MANHATTAN
29,5/7/2021,BRONX
7,7/17/2010,RICHMOND / STATEN ISLAND
22,5/24/2016,MANHATTAN
22,5/20/2008,BRONX
26,3/9/2017,QUEENS
9,8/18/2018,RICHMOND / STATEN ISLAND
29,9/18/2007,QUEENS
56,5/6/2006,BROOKLYN
22,12/27/2006,BRONX
32,10/4/2017,MANHATTAN
29,4/7/2019,BRONX
16,12/23/2011,BRONX
24,6/15/2017,QUEENS
